sub,story,segment,segment_count,segment_num,base_segment,segment_pair,condition,cond_direction,cond_amount,target_points,e_total,e_target,res_1_simi_self_z,res_1_simi_other_z,res_1_MAD_z,res_1_MAD_sub_z,res_1_MD_z,res_1_MD_sub_z,segment_count_demean,segment_num_demean
0116-1,1,1_02,1,2,1_01,1_01-02,p0,f,p0/r0,7.5,4.5,1.5,0.8757246556575492,0.8367135900898133,0.9530179596507692,0.9909173506387,0.9422720845501964,1.0177288172608023,-4.5,-4
0116-1,1,1_02,1,2,1_01,1_01-02,p,f,p/r,7.5,3.5,1.5,0.8792040650233418,0.8678580966611674,0.9502724827319312,1.075988516938612,0.942603399679314,1.0761330553768151,-4.5,-4
0116-1,1,1_02,1,2,1_01,nan,p_r,f,p_r/r_p,7.5,4.5,1.5,0.9048788654099916,0.7739540157157592,1.0104343273610668,1.0232822559502004,1.010269829453036,0.9930363997394356,-4.5,-4
0116-1,1,1_04,3,4,1_03,1_03-04,p0,f,p0/r0,8.5,1.0,0.0,0.8585127276957853,0.6369016622066079,0.8453299365852782,0.8432759258222197,0.8390173927241443,0.8368739616835789,-2.5,-2
0116-1,1,1_04,3,4,1_03,1_03-04,p,f,p/r,8.5,1.5,0.5,0.946287683323386,0.8942336100612669,0.828815354912125,0.8581949659954644,0.849354774284681,0.9116532429678544,-2.5,-2
0116-1,1,1_04,3,4,1_03,nan,p_r,f,p_r/r_p,8.5,3.5,2.5,0.9692350997605952,0.9324841306135304,0.8362612441150687,0.8584266990396862,0.8372462454416861,0.8314306872580202,-2.5,-2
0116-1,1,1_06,5,6,1_05,1_05-06,p0,f,p0/r0,7.0,1.0,0.0,0.7393444882161391,0.693275964906237,0.9454517019583936,0.9157944985550266,0.9717065660447324,0.9841646984606742,-0.5,0
0116-1,1,1_06,5,6,1_05,1_05-06,p,f,p/r,7.0,1.0,0.0,0.7393444882161391,0.693275964906237,0.8971508568134599,0.8756735124067918,0.9576542246961702,0.9738491606565128,-0.5,0
0116-1,1,1_06,5,6,1_05,nan,p_r,f,p_r/r_p,7.0,2.0,0.0,0.7217118773851833,0.6588874048106562,0.8488651948750786,0.8500524300635194,0.8578129883303744,0.8342663070407292,-0.5,0
0116-1,1,1_08,7,8,1_07,1_07-08,p0,f,p0/r0,5.5,2.0,2.0,0.7330565466358718,0.9492932786313322,0.8721219169467842,1.0647484580301114,0.9775979885825996,1.1222642010749515,1.5,2
0116-1,1,1_08,7,8,1_07,1_07-08,p,f,p/r,5.5,3.0,2.0,0.7477546211333099,0.9717678855076224,0.8666685151929332,1.055732330361799,0.963171375556635,1.070073790358736,1.5,2
0116-1,1,1_08,7,8,1_07,nan,p_r,f,p_r/r_p,5.5,2.5,1.5,0.93722843145703,0.7311320926790215,1.0430581907098246,0.685994384777895,0.99421177274223,0.6999858492925342,1.5,2
0116-1,1,1_10,9,10,1_09,1_09-10,p0,f,p0/r0,3.5,1.5,0.5,0.8299173125427496,0.6917261447867369,0.6778204629269882,0.7305986163823768,0.6768064831169955,0.6921031178189168,3.5,4
0116-1,1,1_10,9,10,1_09,1_09-10,p,f,p/r,3.5,1.5,0.5,0.8299173125427496,0.6917261447867369,0.6851587462487188,0.7562038848865105,0.6892084480665059,0.7704131564656018,3.5,4
0116-1,1,1_10,9,10,1_09,nan,p_r,f,p_r/r_p,3.5,2.5,1.5,1.010283554667412,0.7951749023582502,0.9204935488724416,0.9210466924564924,0.9329488293741895,0.9564530458936364,3.5,4
0116-1,2,2_10,1,10,2_11,2_10-11,r0,b,p0/r0,6.5,1.0,0.0,0.3202939631067831,0.2769288552533505,0.8490979737089769,0.4510622040303301,0.7855429889764741,0.4438896772602615,-4.5,4
0116-1,2,2_10,1,10,2_11,2_10-11,r,b,p/r,6.5,3.0,0.0,0.6337813414504705,0.6007395283886183,0.7854936149421183,0.6990478792275647,0.780853499936595,0.6897619970685095,-4.5,4
0116-1,2,2_10,1,10,2_11,nan,r_p,b,p_r/r_p,6.5,2.0,0.0,0.6129855784017053,0.6163813585216769,0.9087575240608854,0.7778837038610015,0.9166580057405485,0.8162068015336229,-4.5,4
