sub,condition,story,segment,segment_count,base_segment,base_seg_num,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,refer_boost_type_sl,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0522-1,r0,3,3_04,9.0,3_05,5,1.5,-3.5,3.5,ahead_gap,gap,neighbor,1,1.0,0.0,3_05_1.5,2.5,-1.125
0522-1,r0,3,3_04,9.0,3_05,5,2.0,-3.0,3.0,ahead_main,main,neighbor,5,4.0,0.0,3_05_2.0,2.5,-1.625
0522-1,r0,3,3_04,9.0,3_05,5,3.0,-2.0,2.0,ahead_main,main,neighbor,2,2.0,0.0,3_05_3.0,2.5,-2.625
0522-1,r0,3,3_04,9.0,3_05,5,3.0,-2.0,2.0,ahead_main,main,none,1,1.0,0.0,3_05_3.0,2.5,-2.625
0522-1,r0,3,3_04,9.0,3_05,5,3.0,-2.0,2.0,ahead_main,main,referred,5,4.5,0.5,3_05_3.0,2.5,-2.625
0522-1,r0,3,3_04,9.0,3_05,5,3.5,-1.5,1.5,ahead_gap,gap,neighbor,2,2.0,0.0,3_05_3.5,2.5,-3.125
0522-1,r0,3,3_04,9.0,3_05,5,3.5,-1.5,1.5,ahead_gap,gap,none,1,1.0,0.0,3_05_3.5,2.5,-3.125
0522-1,r0,3,3_04,9.0,3_05,5,4.0,-1.0,1.0,target,main,neighbor,6,5.5,0.0,3_05_4.0,2.5,-3.625
0522-1,r0,3,3_04,9.0,3_05,5,4.5,-0.5,0.5,gap,gap,none,1,1.0,0.0,3_05_4.5,2.5,-4.125
0522-1,r0,3,3_05,8.0,3_06,6,0.5,-5.5,5.5,ahead_gap,gap,neighbor,14,14.0,0.0,3_06_0.5,1.5,0.875
0522-1,r0,3,3_05,8.0,3_06,6,0.5,-5.5,5.5,ahead_gap,gap,referred,6,6.0,0.0,3_06_0.5,1.5,0.875
0522-1,r0,3,3_05,8.0,3_06,6,1.0,-5.0,5.0,ahead_main,main,neighbor,12,12.0,0.0,3_06_1.0,1.5,0.375
0522-1,r0,3,3_05,8.0,3_06,6,1.0,-5.0,5.0,ahead_main,main,referred,4,3.0,0.0,3_06_1.0,1.5,0.375
0522-1,r0,3,3_05,8.0,3_06,6,1.5,-4.5,4.5,ahead_gap,gap,neighbor,1,1.0,0.0,3_06_1.5,1.5,-0.125
0522-1,r0,3,3_05,8.0,3_06,6,2.0,-4.0,4.0,ahead_main,main,neighbor,5,4.0,0.0,3_06_2.0,1.5,-0.625
0522-1,r0,3,3_05,8.0,3_06,6,3.0,-3.0,3.0,ahead_main,main,neighbor,2,2.0,0.0,3_06_3.0,1.5,-1.625
0522-1,r0,3,3_05,8.0,3_06,6,3.0,-3.0,3.0,ahead_main,main,none,1,1.0,0.0,3_06_3.0,1.5,-1.625
0522-1,r0,3,3_05,8.0,3_06,6,3.0,-3.0,3.0,ahead_main,main,referred,5,4.5,0.0,3_06_3.0,1.5,-1.625
0522-1,r0,3,3_05,8.0,3_06,6,3.5,-2.5,2.5,ahead_gap,gap,neighbor,2,2.0,0.0,3_06_3.5,1.5,-2.125
0522-1,r0,3,3_05,8.0,3_06,6,3.5,-2.5,2.5,ahead_gap,gap,none,1,1.0,0.0,3_06_3.5,1.5,-2.125
0522-1,r0,3,3_05,8.0,3_06,6,4.0,-2.0,2.0,ahead_main,main,neighbor,6,5.5,0.0,3_06_4.0,1.5,-2.625
0522-1,r0,3,3_05,8.0,3_06,6,4.5,-1.5,1.5,ahead_gap,gap,none,1,1.0,0.0,3_06_4.5,1.5,-3.125
0522-1,r0,3,3_05,8.0,3_06,6,5.0,-1.0,1.0,target,main,neighbor,3,2.5,0.0,3_06_5.0,1.5,-3.625
0522-1,r0,3,3_05,8.0,3_06,6,5.5,-0.5,0.5,gap,gap,neighbor,4,4.0,0.0,3_06_5.5,1.5,-4.125
0522-1,r0,3,3_05,8.0,3_06,6,5.5,-0.5,0.5,gap,gap,referred,6,5.5,0.0,3_06_5.5,1.5,-4.125
0522-1,r0,3,3_06,7.0,3_07,7,0.5,-6.5,6.5,ahead_gap,gap,neighbor,14,14.0,0.0,3_07_0.5,0.5,1.875
0522-1,r0,3,3_06,7.0,3_07,7,0.5,-6.5,6.5,ahead_gap,gap,referred,6,6.0,0.0,3_07_0.5,0.5,1.875
0522-1,r0,3,3_06,7.0,3_07,7,1.0,-6.0,6.0,ahead_main,main,neighbor,12,12.0,0.0,3_07_1.0,0.5,1.375
0522-1,r0,3,3_06,7.0,3_07,7,1.0,-6.0,6.0,ahead_main,main,referred,4,3.0,0.0,3_07_1.0,0.5,1.375
0522-1,r0,3,3_06,7.0,3_07,7,1.5,-5.5,5.5,ahead_gap,gap,neighbor,1,1.0,0.0,3_07_1.5,0.5,0.875
0522-1,r0,3,3_06,7.0,3_07,7,2.0,-5.0,5.0,ahead_main,main,neighbor,5,4.0,0.0,3_07_2.0,0.5,0.375
0522-1,r0,3,3_06,7.0,3_07,7,3.0,-4.0,4.0,ahead_main,main,neighbor,2,2.0,0.0,3_07_3.0,0.5,-0.625
0522-1,r0,3,3_06,7.0,3_07,7,3.0,-4.0,4.0,ahead_main,main,none,1,1.0,0.0,3_07_3.0,0.5,-0.625
0522-1,r0,3,3_06,7.0,3_07,7,3.0,-4.0,4.0,ahead_main,main,referred,5,4.5,1.5,3_07_3.0,0.5,-0.625
0522-1,r0,3,3_06,7.0,3_07,7,3.5,-3.5,3.5,ahead_gap,gap,neighbor,2,2.0,0.0,3_07_3.5,0.5,-1.125
0522-1,r0,3,3_06,7.0,3_07,7,3.5,-3.5,3.5,ahead_gap,gap,none,1,1.0,0.0,3_07_3.5,0.5,-1.125
0522-1,r0,3,3_06,7.0,3_07,7,4.0,-3.0,3.0,ahead_main,main,neighbor,6,5.5,0.0,3_07_4.0,0.5,-1.625
0522-1,r0,3,3_06,7.0,3_07,7,4.5,-2.5,2.5,ahead_gap,gap,none,1,1.0,0.0,3_07_4.5,0.5,-2.125
0522-1,r0,3,3_06,7.0,3_07,7,5.0,-2.0,2.0,ahead_main,main,none,3,2.5,0.0,3_07_5.0,0.5,-2.625
0522-1,r0,3,3_06,7.0,3_07,7,5.5,-1.5,1.5,ahead_gap,gap,neighbor,5,5.0,0.0,3_07_5.5,0.5,-3.125
0522-1,r0,3,3_06,7.0,3_07,7,5.5,-1.5,1.5,ahead_gap,gap,none,3,2.5,0.0,3_07_5.5,0.5,-3.125
0522-1,r0,3,3_06,7.0,3_07,7,5.5,-1.5,1.5,ahead_gap,gap,referred,2,2.0,0.0,3_07_5.5,0.5,-3.125
0522-1,r0,3,3_06,7.0,3_07,7,6.0,-1.0,1.0,target,main,neighbor,7,6.5,0.0,3_07_6.0,0.5,-3.625
0522-1,r0,3,3_06,7.0,3_07,7,6.0,-1.0,1.0,target,main,none,4,4.0,0.0,3_07_6.0,0.5,-3.625
0522-1,r0,3,3_06,7.0,3_07,7,6.0,-1.0,1.0,target,main,referred,2,1.5,0.0,3_07_6.0,0.5,-3.625
0522-1,r0,3,3_06,7.0,3_07,7,6.5,-0.5,0.5,gap,gap,none,1,1.0,0.0,3_07_6.5,0.5,-4.125
0522-1,r0,3,3_07,6.0,3_08,8,0.5,-7.5,7.5,ahead_gap,gap,neighbor,16,16.0,0.0,3_08_0.5,-0.5,2.875
0522-1,r0,3,3_07,6.0,3_08,8,0.5,-7.5,7.5,ahead_gap,gap,referred,4,4.0,0.0,3_08_0.5,-0.5,2.875
0522-1,r0,3,3_07,6.0,3_08,8,1.0,-7.0,7.0,ahead_main,main,neighbor,12,12.0,0.0,3_08_1.0,-0.5,2.375
0522-1,r0,3,3_07,6.0,3_08,8,1.0,-7.0,7.0,ahead_main,main,referred,4,3.0,0.0,3_08_1.0,-0.5,2.375
0522-1,r0,3,3_07,6.0,3_08,8,1.5,-6.5,6.5,ahead_gap,gap,neighbor,1,1.0,0.0,3_08_1.5,-0.5,1.875
0522-1,r0,3,3_07,6.0,3_08,8,2.0,-6.0,6.0,ahead_main,main,neighbor,5,4.0,0.0,3_08_2.0,-0.5,1.375
0522-1,r0,3,3_07,6.0,3_08,8,3.0,-5.0,5.0,ahead_main,main,neighbor,3,3.0,0.0,3_08_3.0,-0.5,0.375
0522-1,r0,3,3_07,6.0,3_08,8,3.0,-5.0,5.0,ahead_main,main,none,1,1.0,0.0,3_08_3.0,-0.5,0.375
0522-1,r0,3,3_07,6.0,3_08,8,3.0,-5.0,5.0,ahead_main,main,referred,4,3.5,0.0,3_08_3.0,-0.5,0.375
0522-1,r0,3,3_07,6.0,3_08,8,3.5,-4.5,4.5,ahead_gap,gap,neighbor,2,2.0,0.0,3_08_3.5,-0.5,-0.125
0522-1,r0,3,3_07,6.0,3_08,8,3.5,-4.5,4.5,ahead_gap,gap,none,1,1.0,0.0,3_08_3.5,-0.5,-0.125
0522-1,r0,3,3_07,6.0,3_08,8,4.0,-4.0,4.0,ahead_main,main,neighbor,6,5.5,0.0,3_08_4.0,-0.5,-0.625
0522-1,r0,3,3_07,6.0,3_08,8,4.5,-3.5,3.5,ahead_gap,gap,none,1,1.0,0.0,3_08_4.5,-0.5,-1.125
0522-1,r0,3,3_07,6.0,3_08,8,5.0,-3.0,3.0,ahead_main,main,none,3,2.5,0.0,3_08_5.0,-0.5,-1.625
0522-1,r0,3,3_07,6.0,3_08,8,5.5,-2.5,2.5,ahead_gap,gap,neighbor,5,5.0,0.0,3_08_5.5,-0.5,-2.125
0522-1,r0,3,3_07,6.0,3_08,8,5.5,-2.5,2.5,ahead_gap,gap,none,3,2.5,0.0,3_08_5.5,-0.5,-2.125
0522-1,r0,3,3_07,6.0,3_08,8,5.5,-2.5,2.5,ahead_gap,gap,referred,2,2.0,0.0,3_08_5.5,-0.5,-2.125
0522-1,r0,3,3_07,6.0,3_08,8,6.0,-2.0,2.0,ahead_main,main,neighbor,9,8.5,0.0,3_08_6.0,-0.5,-2.625
0522-1,r0,3,3_07,6.0,3_08,8,6.0,-2.0,2.0,ahead_main,main,none,2,2.0,0.0,3_08_6.0,-0.5,-2.625
0522-1,r0,3,3_07,6.0,3_08,8,6.0,-2.0,2.0,ahead_main,main,referred,2,1.5,0.0,3_08_6.0,-0.5,-2.625
0522-1,r0,3,3_07,6.0,3_08,8,6.5,-1.5,1.5,ahead_gap,gap,none,1,1.0,0.0,3_08_6.5,-0.5,-3.125
0522-1,r0,3,3_07,6.0,3_08,8,7.0,-1.0,1.0,target,main,neighbor,1,1.0,0.0,3_08_7.0,-0.5,-3.625
0522-1,r0,3,3_07,6.0,3_08,8,7.0,-1.0,1.0,target,main,none,4,3.5,0.0,3_08_7.0,-0.5,-3.625
0522-1,r0,3,3_07,6.0,3_08,8,7.0,-1.0,1.0,target,main,referred,3,2.0,0.0,3_08_7.0,-0.5,-3.625
0522-1,r0,3,3_08,5.0,3_09,9,0.5,-8.5,8.5,ahead_gap,gap,neighbor,16,16.0,0.0,3_09_0.5,-1.5,3.875
0522-1,r0,3,3_08,5.0,3_09,9,0.5,-8.5,8.5,ahead_gap,gap,referred,4,4.0,0.0,3_09_0.5,-1.5,3.875
0522-1,r0,3,3_08,5.0,3_09,9,1.0,-8.0,8.0,ahead_main,main,neighbor,12,12.0,0.0,3_09_1.0,-1.5,3.375
0522-1,r0,3,3_08,5.0,3_09,9,1.0,-8.0,8.0,ahead_main,main,referred,4,3.0,0.0,3_09_1.0,-1.5,3.375
0522-1,r0,3,3_08,5.0,3_09,9,1.5,-7.5,7.5,ahead_gap,gap,neighbor,1,1.0,0.0,3_09_1.5,-1.5,2.875
0522-1,r0,3,3_08,5.0,3_09,9,2.0,-7.0,7.0,ahead_main,main,neighbor,5,4.0,0.0,3_09_2.0,-1.5,2.375
0522-1,r0,3,3_08,5.0,3_09,9,3.0,-6.0,6.0,ahead_main,main,neighbor,3,3.0,0.0,3_09_3.0,-1.5,1.375
0522-1,r0,3,3_08,5.0,3_09,9,3.0,-6.0,6.0,ahead_main,main,none,1,1.0,0.0,3_09_3.0,-1.5,1.375
0522-1,r0,3,3_08,5.0,3_09,9,3.0,-6.0,6.0,ahead_main,main,referred,4,3.5,0.0,3_09_3.0,-1.5,1.375
0522-1,r0,3,3_08,5.0,3_09,9,3.5,-5.5,5.5,ahead_gap,gap,neighbor,2,2.0,0.0,3_09_3.5,-1.5,0.875
0522-1,r0,3,3_08,5.0,3_09,9,3.5,-5.5,5.5,ahead_gap,gap,none,1,1.0,0.0,3_09_3.5,-1.5,0.875
0522-1,r0,3,3_08,5.0,3_09,9,4.0,-5.0,5.0,ahead_main,main,neighbor,6,5.5,0.0,3_09_4.0,-1.5,0.375
0522-1,r0,3,3_08,5.0,3_09,9,4.5,-4.5,4.5,ahead_gap,gap,none,1,1.0,0.0,3_09_4.5,-1.5,-0.125
0522-1,r0,3,3_08,5.0,3_09,9,5.0,-4.0,4.0,ahead_main,main,none,3,2.5,0.0,3_09_5.0,-1.5,-0.625
0522-1,r0,3,3_08,5.0,3_09,9,5.5,-3.5,3.5,ahead_gap,gap,neighbor,6,6.0,0.0,3_09_5.5,-1.5,-1.125
0522-1,r0,3,3_08,5.0,3_09,9,5.5,-3.5,3.5,ahead_gap,gap,none,3,2.5,0.0,3_09_5.5,-1.5,-1.125
0522-1,r0,3,3_08,5.0,3_09,9,5.5,-3.5,3.5,ahead_gap,gap,referred,1,1.0,0.0,3_09_5.5,-1.5,-1.125
0522-1,r0,3,3_08,5.0,3_09,9,6.0,-3.0,3.0,ahead_main,main,neighbor,9,8.5,0.0,3_09_6.0,-1.5,-1.625
0522-1,r0,3,3_08,5.0,3_09,9,6.0,-3.0,3.0,ahead_main,main,none,2,2.0,0.0,3_09_6.0,-1.5,-1.625
0522-1,r0,3,3_08,5.0,3_09,9,6.0,-3.0,3.0,ahead_main,main,referred,2,1.5,0.0,3_09_6.0,-1.5,-1.625
0522-1,r0,3,3_08,5.0,3_09,9,6.5,-2.5,2.5,ahead_gap,gap,none,1,1.0,0.0,3_09_6.5,-1.5,-2.125
0522-1,r0,3,3_08,5.0,3_09,9,7.0,-2.0,2.0,ahead_main,main,neighbor,1,1.0,0.0,3_09_7.0,-1.5,-2.625
0522-1,r0,3,3_08,5.0,3_09,9,7.0,-2.0,2.0,ahead_main,main,none,4,3.5,0.0,3_09_7.0,-1.5,-2.625
0522-1,r0,3,3_08,5.0,3_09,9,7.0,-2.0,2.0,ahead_main,main,referred,3,2.0,0.0,3_09_7.0,-1.5,-2.625
0522-1,r0,3,3_08,5.0,3_09,9,8.0,-1.0,1.0,target,main,neighbor,2,2.0,0.0,3_09_8.0,-1.5,-3.625
0522-1,r0,3,3_09,4.0,3_10,10,0.5,-9.5,9.5,ahead_gap,gap,neighbor,16,16.0,0.0,3_10_0.5,-2.5,4.875
0522-1,r0,3,3_09,4.0,3_10,10,0.5,-9.5,9.5,ahead_gap,gap,referred,4,4.0,0.0,3_10_0.5,-2.5,4.875
0522-1,r0,3,3_09,4.0,3_10,10,1.0,-9.0,9.0,ahead_main,main,neighbor,12,12.0,0.0,3_10_1.0,-2.5,4.375
0522-1,r0,3,3_09,4.0,3_10,10,1.0,-9.0,9.0,ahead_main,main,referred,4,3.0,1.0,3_10_1.0,-2.5,4.375
0522-1,r0,3,3_09,4.0,3_10,10,1.5,-8.5,8.5,ahead_gap,gap,neighbor,1,1.0,0.0,3_10_1.5,-2.5,3.875
0522-1,r0,3,3_09,4.0,3_10,10,2.0,-8.0,8.0,ahead_main,main,neighbor,5,4.0,0.0,3_10_2.0,-2.5,3.375
0522-1,r0,3,3_09,4.0,3_10,10,3.0,-7.0,7.0,ahead_main,main,neighbor,3,3.0,0.0,3_10_3.0,-2.5,2.375
0522-1,r0,3,3_09,4.0,3_10,10,3.0,-7.0,7.0,ahead_main,main,none,1,1.0,0.0,3_10_3.0,-2.5,2.375
0522-1,r0,3,3_09,4.0,3_10,10,3.0,-7.0,7.0,ahead_main,main,referred,4,3.5,0.0,3_10_3.0,-2.5,2.375
0522-1,r0,3,3_09,4.0,3_10,10,3.5,-6.5,6.5,ahead_gap,gap,neighbor,2,2.0,0.0,3_10_3.5,-2.5,1.875
0522-1,r0,3,3_09,4.0,3_10,10,3.5,-6.5,6.5,ahead_gap,gap,none,1,1.0,0.0,3_10_3.5,-2.5,1.875
0522-1,r0,3,3_09,4.0,3_10,10,4.0,-6.0,6.0,ahead_main,main,neighbor,6,5.5,0.0,3_10_4.0,-2.5,1.375
0522-1,r0,3,3_09,4.0,3_10,10,4.5,-5.5,5.5,ahead_gap,gap,none,1,1.0,0.0,3_10_4.5,-2.5,0.875
0522-1,r0,3,3_09,4.0,3_10,10,5.0,-5.0,5.0,ahead_main,main,none,3,2.5,0.0,3_10_5.0,-2.5,0.375
0522-1,r0,3,3_09,4.0,3_10,10,5.5,-4.5,4.5,ahead_gap,gap,neighbor,6,6.0,0.0,3_10_5.5,-2.5,-0.125
0522-1,r0,3,3_09,4.0,3_10,10,5.5,-4.5,4.5,ahead_gap,gap,none,3,2.5,0.0,3_10_5.5,-2.5,-0.125
0522-1,r0,3,3_09,4.0,3_10,10,5.5,-4.5,4.5,ahead_gap,gap,referred,1,1.0,0.0,3_10_5.5,-2.5,-0.125
0522-1,r0,3,3_09,4.0,3_10,10,6.0,-4.0,4.0,ahead_main,main,neighbor,9,8.5,0.0,3_10_6.0,-2.5,-0.625
0522-1,r0,3,3_09,4.0,3_10,10,6.0,-4.0,4.0,ahead_main,main,none,2,2.0,0.0,3_10_6.0,-2.5,-0.625
0522-1,r0,3,3_09,4.0,3_10,10,6.0,-4.0,4.0,ahead_main,main,referred,2,1.5,0.0,3_10_6.0,-2.5,-0.625
0522-1,r0,3,3_09,4.0,3_10,10,6.5,-3.5,3.5,ahead_gap,gap,none,1,1.0,0.0,3_10_6.5,-2.5,-1.125
0522-1,r0,3,3_09,4.0,3_10,10,7.0,-3.0,3.0,ahead_main,main,neighbor,1,1.0,0.0,3_10_7.0,-2.5,-1.625
0522-1,r0,3,3_09,4.0,3_10,10,7.0,-3.0,3.0,ahead_main,main,none,4,3.5,0.0,3_10_7.0,-2.5,-1.625
0522-1,r0,3,3_09,4.0,3_10,10,7.0,-3.0,3.0,ahead_main,main,referred,3,2.0,0.0,3_10_7.0,-2.5,-1.625
0522-1,r0,3,3_09,4.0,3_10,10,8.0,-2.0,2.0,ahead_main,main,neighbor,2,2.0,0.0,3_10_8.0,-2.5,-2.625
0522-1,r0,3,3_09,4.0,3_10,10,9.0,-1.0,1.0,target,main,none,1,1.0,0.0,3_10_9.0,-2.5,-3.625
0522-1,r0,3,3_09,4.0,3_10,10,9.5,-0.5,0.5,gap,gap,referred,3,2.5,0.0,3_10_9.5,-2.5,-4.125
0522-1,r0,3,3_10,3.0,3_11,11,0.5,-10.5,10.5,ahead_gap,gap,neighbor,5,5.0,0.0,3_11_0.5,-3.5,5.875
0522-1,r0,3,3_10,3.0,3_11,11,0.5,-10.5,10.5,ahead_gap,gap,none,12,12.0,0.0,3_11_0.5,-3.5,5.875
0522-1,r0,3,3_10,3.0,3_11,11,0.5,-10.5,10.5,ahead_gap,gap,referred,3,3.0,0.0,3_11_0.5,-3.5,5.875
0522-1,r0,3,3_10,3.0,3_11,11,1.0,-10.0,10.0,ahead_main,main,neighbor,7,6.5,0.0,3_11_1.0,-3.5,5.375
0522-1,r0,3,3_10,3.0,3_11,11,1.0,-10.0,10.0,ahead_main,main,none,8,7.5,0.0,3_11_1.0,-3.5,5.375
0522-1,r0,3,3_10,3.0,3_11,11,1.0,-10.0,10.0,ahead_main,main,referred,1,1.0,0.0,3_11_1.0,-3.5,5.375
0522-1,r0,3,3_10,3.0,3_11,11,1.5,-9.5,9.5,ahead_gap,gap,neighbor,1,1.0,0.0,3_11_1.5,-3.5,4.875
0522-1,r0,3,3_10,3.0,3_11,11,2.0,-9.0,9.0,ahead_main,main,neighbor,3,2.0,0.0,3_11_2.0,-3.5,4.375
0522-1,r0,3,3_10,3.0,3_11,11,2.0,-9.0,9.0,ahead_main,main,none,2,2.0,0.0,3_11_2.0,-3.5,4.375
0522-1,r0,3,3_10,3.0,3_11,11,3.0,-8.0,8.0,ahead_main,main,none,8,7.5,0.0,3_11_3.0,-3.5,3.375
0522-1,r0,3,3_10,3.0,3_11,11,3.5,-7.5,7.5,ahead_gap,gap,none,3,3.0,0.0,3_11_3.5,-3.5,2.875
0522-1,r0,3,3_10,3.0,3_11,11,4.0,-7.0,7.0,ahead_main,main,none,6,5.5,0.0,3_11_4.0,-3.5,2.375
0522-1,r0,3,3_10,3.0,3_11,11,4.5,-6.5,6.5,ahead_gap,gap,none,1,1.0,0.0,3_11_4.5,-3.5,1.875
0522-1,r0,3,3_10,3.0,3_11,11,5.0,-6.0,6.0,ahead_main,main,none,3,2.5,0.0,3_11_5.0,-3.5,1.375
0522-1,r0,3,3_10,3.0,3_11,11,5.5,-5.5,5.5,ahead_gap,gap,neighbor,6,6.0,0.0,3_11_5.5,-3.5,0.875
0522-1,r0,3,3_10,3.0,3_11,11,5.5,-5.5,5.5,ahead_gap,gap,none,3,2.5,0.0,3_11_5.5,-3.5,0.875
0522-1,r0,3,3_10,3.0,3_11,11,5.5,-5.5,5.5,ahead_gap,gap,referred,1,1.0,0.0,3_11_5.5,-3.5,0.875
0522-1,r0,3,3_10,3.0,3_11,11,6.0,-5.0,5.0,ahead_main,main,neighbor,9,8.0,0.0,3_11_6.0,-3.5,0.375
0522-1,r0,3,3_10,3.0,3_11,11,6.0,-5.0,5.0,ahead_main,main,none,4,4.0,0.0,3_11_6.0,-3.5,0.375
0522-1,r0,3,3_10,3.0,3_11,11,6.5,-4.5,4.5,ahead_gap,gap,none,1,1.0,0.0,3_11_6.5,-3.5,-0.125
0522-1,r0,3,3_10,3.0,3_11,11,7.0,-4.0,4.0,ahead_main,main,neighbor,1,1.0,0.0,3_11_7.0,-3.5,-0.625
0522-1,r0,3,3_10,3.0,3_11,11,7.0,-4.0,4.0,ahead_main,main,none,4,3.5,0.0,3_11_7.0,-3.5,-0.625
0522-1,r0,3,3_10,3.0,3_11,11,7.0,-4.0,4.0,ahead_main,main,referred,3,2.0,0.0,3_11_7.0,-3.5,-0.625
0522-1,r0,3,3_10,3.0,3_11,11,8.0,-3.0,3.0,ahead_main,main,none,2,2.0,0.0,3_11_8.0,-3.5,-1.625
0522-1,r0,3,3_10,3.0,3_11,11,9.0,-2.0,2.0,ahead_main,main,none,1,1.0,0.0,3_11_9.0,-3.5,-2.625
0522-1,r0,3,3_10,3.0,3_11,11,9.5,-1.5,1.5,ahead_gap,gap,none,3,2.5,0.0,3_11_9.5,-3.5,-3.125
0522-1,r0,3,3_10,3.0,3_11,11,10.0,-1.0,1.0,target,main,neighbor,2,1.5,0.0,3_11_10.0,-3.5,-3.625
0522-1,r0,3,3_10,3.0,3_11,11,10.0,-1.0,1.0,target,main,none,8,7.5,0.0,3_11_10.0,-3.5,-3.625
0522-1,r0,3,3_10,3.0,3_11,11,10.5,-0.5,0.5,gap,gap,neighbor,1,1.0,0.0,3_11_10.5,-3.5,-4.125
0522-1,r0,3,3_10,3.0,3_11,11,10.5,-0.5,0.5,gap,gap,referred,4,4.0,0.0,3_11_10.5,-3.5,-4.125
0522-1,r0,3,3_11,2.0,3_12,12,0.5,-11.5,11.5,ahead_gap,gap,neighbor,5,5.0,0.0,3_12_0.5,-4.5,6.875
0522-1,r0,3,3_11,2.0,3_12,12,0.5,-11.5,11.5,ahead_gap,gap,none,12,12.0,0.0,3_12_0.5,-4.5,6.875
