sub,condition,story,segment,segment_count,base_segment,base_seg_num,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,refer_boost_type_sl,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0522-1,r0,3,3_01,12.0,3_02,2,0.5,-1.5,1.5,ahead_gap,gap,neighbor,11,11.0,0.0,3_02_0.5,5.5,-3.125
0522-1,r0,3,3_01,12.0,3_02,2,0.5,-1.5,1.5,ahead_gap,gap,referred,9,9.0,0.0,3_02_0.5,5.5,-3.125
0522-1,r0,3,3_01,12.0,3_02,2,1.0,-1.0,1.0,target,main,neighbor,12,12.0,0.0,3_02_1.0,5.5,-3.625
0522-1,r0,3,3_01,12.0,3_02,2,1.0,-1.0,1.0,target,main,referred,4,3.0,0.0,3_02_1.0,5.5,-3.625
0522-1,r0,3,3_01,12.0,3_02,2,1.5,-0.5,0.5,gap,gap,referred,1,1.0,0.0,3_02_1.5,5.5,-4.125
0522-1,r0,3,3_02,11.0,3_03,3,0.5,-2.5,2.5,ahead_gap,gap,neighbor,12,12.0,1.0,3_03_0.5,4.5,-2.125
0522-1,r0,3,3_02,11.0,3_03,3,0.5,-2.5,2.5,ahead_gap,gap,referred,8,8.0,0.0,3_03_0.5,4.5,-2.125
0522-1,r0,3,3_02,11.0,3_03,3,1.0,-2.0,2.0,ahead_main,main,neighbor,12,12.0,1.0,3_03_1.0,4.5,-2.625
0522-1,r0,3,3_02,11.0,3_03,3,1.0,-2.0,2.0,ahead_main,main,referred,4,3.0,0.0,3_03_1.0,4.5,-2.625
0522-1,r0,3,3_02,11.0,3_03,3,1.5,-1.5,1.5,ahead_gap,gap,neighbor,1,1.0,0.0,3_03_1.5,4.5,-3.125
0522-1,r0,3,3_02,11.0,3_03,3,2.0,-1.0,1.0,target,main,neighbor,5,4.0,0.0,3_03_2.0,4.5,-3.625
0522-1,r0,3,3_03,10.0,3_04,4,0.5,-3.5,3.5,ahead_gap,gap,neighbor,12,12.0,0.0,3_04_0.5,3.5,-1.125
0522-1,r0,3,3_03,10.0,3_04,4,0.5,-3.5,3.5,ahead_gap,gap,referred,8,8.0,0.0,3_04_0.5,3.5,-1.125
0522-1,r0,3,3_03,10.0,3_04,4,1.0,-3.0,3.0,ahead_main,main,neighbor,12,12.0,0.0,3_04_1.0,3.5,-1.625
0522-1,r0,3,3_03,10.0,3_04,4,1.0,-3.0,3.0,ahead_main,main,referred,4,3.0,0.0,3_04_1.0,3.5,-1.625
0522-1,r0,3,3_03,10.0,3_04,4,1.5,-2.5,2.5,ahead_gap,gap,neighbor,1,1.0,0.0,3_04_1.5,3.5,-2.125
0522-1,r0,3,3_03,10.0,3_04,4,2.0,-2.0,2.0,ahead_main,main,neighbor,5,4.0,0.0,3_04_2.0,3.5,-2.625
0522-1,r0,3,3_03,10.0,3_04,4,3.0,-1.0,1.0,target,main,neighbor,2,2.0,0.0,3_04_3.0,3.5,-3.625
0522-1,r0,3,3_03,10.0,3_04,4,3.0,-1.0,1.0,target,main,none,1,1.0,0.0,3_04_3.0,3.5,-3.625
0522-1,r0,3,3_03,10.0,3_04,4,3.0,-1.0,1.0,target,main,referred,5,4.5,0.0,3_04_3.0,3.5,-3.625
0522-1,r0,3,3_03,10.0,3_04,4,3.5,-0.5,0.5,gap,gap,none,1,1.0,0.0,3_04_3.5,3.5,-4.125
0522-1,r0,3,3_03,10.0,3_04,4,3.5,-0.5,0.5,gap,gap,referred,2,2.0,0.0,3_04_3.5,3.5,-4.125
0522-1,r0,3,3_04,9.0,3_05,5,0.5,-4.5,4.5,ahead_gap,gap,neighbor,13,13.0,0.0,3_05_0.5,2.5,-0.125
0522-1,r0,3,3_04,9.0,3_05,5,0.5,-4.5,4.5,ahead_gap,gap,referred,7,7.0,0.0,3_05_0.5,2.5,-0.125
0522-1,r0,3,3_04,9.0,3_05,5,1.0,-4.0,4.0,ahead_main,main,neighbor,12,12.0,0.0,3_05_1.0,2.5,-0.625
0522-1,r0,3,3_04,9.0,3_05,5,1.0,-4.0,4.0,ahead_main,main,referred,4,3.0,0.0,3_05_1.0,2.5,-0.625
