sub,story,segment,segment_count,segment_num,base_segment,segment_pair,condition,cond_direction,cond_amount,target_points,e_total,e_target,res_1_simi_info_z,res_1_MD_sub_z,segment_count_demean,segment_num_demean
0707-2,3,3_01,12.0,1,3_02,3_01-02,r,b,p/r,15.0,1.5,0.5,0.6048477736773195,0.7381793789413118,5.5,-6
0522-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,2.0,0.0,0.2721809175404144,0.227476446598676,4.5,-5
0522-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,0.0,0.0,0.4512819565976184,0.5098854940890448,4.5,-5
0522-3,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,2.5,0.5,0.6289099337932474,0.5007959983440631,4.5,-5
0522-3,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,3.5,0.0,0.7928371234767669,0.566359721782922,4.5,-5
0523-2,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.0,0.0,0.1725971571312866,0.3313221210384944,4.5,-5
0523-2,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,0.5,0.5,0.7278517962158407,0.7171287840087265,4.5,-5
0523-4,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,2.0,0.0,0.4495338969120178,0.4061884116479211,4.5,-5
0523-4,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,1.5,0.0,0.5647628052860928,0.7212996060884309,4.5,-5
0524-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.0,0.0,0.0642341732749128,0.2643446229330493,4.5,-5
0524-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,1.0,0.0,0.4238192478785671,0.6000164886478053,4.5,-5
0525-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.0,0.0,0.3496662987482034,0.3655056078188915,4.5,-5
0525-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,2.5,0.0,0.5106275484429215,0.5883661028593485,4.5,-5
0526-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,0.5,0.5,0.6276255000406087,0.4000459961173926,4.5,-5
0526-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,0.5,0.0,0.540120513481802,0.6850628637026077,4.5,-5
0526-3,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.0,0.0,0.0710660668963582,0.2560815677666179,4.5,-5
0526-3,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,1.0,0.0,0.5400525928529175,0.6463400676480047,4.5,-5
0527-2,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.0,0.0,0.4536854681872813,0.4440779206345173,4.5,-5
0527-2,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,1.0,0.0,0.3958745249445073,0.6179501100289917,4.5,-5
0528-2,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.0,0.0,0.2888139574310787,0.3317986705041315,4.5,-5
0528-2,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,0.5,0.5,0.5994168841550925,0.7919421305619747,4.5,-5
0528-3,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.5,0.5,0.7247138057128205,0.4512044919393129,4.5,-5
0528-3,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,1.5,0.5,0.627260039568638,0.6819830224352245,4.5,-5
0612-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.0,0.0,0.241207130872806,0.399485489302579,4.5,-5
0612-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,2.0,2.0,0.5508417061118531,0.6755126987497585,4.5,-5
0613-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,2.0,0.0,0.6225967588629108,0.4803433736960636,4.5,-5
0613-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,2.0,0.0,0.6393505361062279,0.689373265037136,4.5,-5
0615-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.0,0.0,0.1770750640673072,0.3284709773912885,4.5,-5
0615-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,2.0,2.0,0.592304997639967,0.5934667943554782,4.5,-5
0616-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,3.0,0.0,0.5335919250735336,0.4626251276012854,4.5,-5
0616-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,2.0,2.0,0.7170088836244014,0.7498382156667756,4.5,-5
0619-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,2.0,0.0,0.5779470319997267,0.4289301269586928,4.5,-5
0619-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,2.5,0.0,0.5330115650795629,0.6080613012914093,4.5,-5
0706-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,4.0,0.0,0.711013203864323,0.4681420715366988,4.5,-5
0706-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,4.0,0.0,0.6045501647734222,0.5541021115229152,4.5,-5
0707-1,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,2.0,0.0,0.1926773383958206,0.3775315396365403,4.5,-5
0707-1,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,1.5,0.0,0.3987406919980684,0.5603350017194291,4.5,-5
0707-2,3,3_02,11.0,2,3_03,3_02-03,r0,b,p0/r0,4.0,1.0,0.0,0.4151670222332832,0.5218393886267322,4.5,-5
0707-2,3,3_02,11.0,2,3_03,3_02-03,r,b,p/r,4.0,2.0,2.0,0.5625972479971606,0.7342513830836327,4.5,-5
0522-2,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,5.0,0.0,0.502944053064084,0.6426678924020283,-5.5,-5
0522-2,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,5.0,0.0,0.6043293141252887,0.6834291719320293,-5.5,-5
0523-1,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,2.0,0.0,0.3215538101733749,0.6023119511536477,-5.5,-5
0523-3,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,4.0,0.0,0.3182898042162979,0.576650753557163,-5.5,-5
0523-3,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,4.5,0.5,0.5379806984968885,0.6057046877255303,-5.5,-5
0523-5,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,5.0,0.0,0.4820159880320327,0.6839659044167876,-5.5,-5
0523-5,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,0.5,0.5,0.4118762215872166,0.467617825086817,-5.5,-5
0524-2,3,3_02,1.0,2,3_01,3_01-02,p0,f,p0/r0,4.0,3.5,0.0,0.3748069587097085,0.6539909990334032,-5.5,-5
0524-2,3,3_02,1.0,2,3_01,3_01-02,p,f,p/r,4.0,3.0,0.0,0.612043534894816,0.6493990723018519,-5.5,-5
