sub,story,segment,segment_count,segment_num,base_segment,segment_count_demean,segment_num_demean,segment_pair,condition,cond_direction,cond_amount,e_cond,n_hits
0522-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0522-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,4.0
0522-3,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0522-3,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,3.5
0523-2,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0523-2,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,2.5
0523-4,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,1.0
0523-4,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,1.0
0524-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0524-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,1.5
0525-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,1.0
0525-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,1.0
0526-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0526-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,0.0
0526-3,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,1.5
0526-3,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,2.5
0527-2,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0527-2,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,1.5
0528-2,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.5
0528-2,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,1.5
0528-3,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.5
0528-3,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,1.5
0612-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,1.0
0612-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,2.0
0613-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0613-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,3.5
0615-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0615-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,1.5
0616-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0616-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,1.0
0619-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0619-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,1.5
0706-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0707-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0707-1,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,3.5
0707-2,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r0,b,p0/r0,e_target,0.0
0707-2,3,3_01,12.0,1,3_02,5.5,-6,3_01-02,r,b,p/r,e_target,0.5
0522-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0522-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0522-3,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.5
0522-3,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0523-2,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0523-2,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.5
0523-4,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0523-4,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0524-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0524-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0525-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0525-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0526-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.5
0526-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0526-3,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0526-3,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0527-2,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0527-2,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0528-2,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0528-2,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.5
0528-3,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.5
0528-3,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.5
0612-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0612-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,2.0
0613-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0613-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0615-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0615-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,2.0
0616-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0616-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,2.0
0619-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0619-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0706-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0706-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0707-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0707-1,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,0.0
0707-2,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r0,b,p0/r0,e_target,0.0
0707-2,3,3_02,11.0,2,3_03,4.5,-5,3_02-03,r,b,p/r,e_target,2.0
0522-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0522-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0523-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0523-3,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0523-3,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.5
0523-5,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0523-5,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.5
0524-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0524-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0525-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0525-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0526-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0526-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0527-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0527-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0528-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.5
0528-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.5
0608-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0608-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0608-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0608-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0611-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0611-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0612-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0612-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0614-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0615-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0615-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0615-3,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0615-3,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0619-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0619-2,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0629-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p0,f,p0/r0,e_target,0.0
0629-1,3,3_02,1.0,2,3_01,-5.5,-5,3_01-02,p,f,p/r,e_target,0.0
0522-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0522-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0522-3,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0522-3,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,2.5
0523-2,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,1.5
0523-2,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0523-4,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0523-4,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0524-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0524-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0525-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0525-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0526-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.5
0526-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0526-3,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0526-3,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0527-2,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0527-2,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,0.0
0528-2,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0528-2,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,2.5
0528-3,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0528-3,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0612-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0612-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0613-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0613-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,0.5
0615-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,1.5
0615-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0616-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0616-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0619-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0619-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0706-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0706-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0707-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.0
0707-1,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,1.5
0707-2,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r0,b,p0/r0,e_target,0.5
0707-2,3,3_03,10.0,3,3_04,3.5,-4,3_03-04,r,b,p/r,e_target,0.5
0522-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.5
0522-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.5
0523-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0523-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,2.5
0523-3,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.5
0523-3,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.5
0523-5,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,1.5
0523-5,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,1.5
0524-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0524-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,2.5
0525-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0525-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,1.5
0526-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0526-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,1.5
0527-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0527-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.5
0528-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0528-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,1.5
0608-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0608-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.5
0608-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0608-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.5
0611-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,1.5
0611-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,1.5
0612-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0612-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.0
0614-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0614-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.0
0615-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0615-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.0
0615-3,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0615-3,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.0
0619-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0619-2,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,0.0
0629-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p0,f,p0/r0,e_target,0.0
0629-1,3,3_03,2.0,3,3_02,-4.5,-4,3_02-03,p,f,p/r,e_target,1.5
0522-1,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0522-1,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,0.5
0522-3,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0522-3,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,0.5
0523-2,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0523-2,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,0.5
0523-4,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0523-4,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,0.5
0524-1,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0524-1,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,0.0
0525-1,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0525-1,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,1.5
0526-1,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0526-1,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,0.5
0526-3,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0526-3,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,0.0
0527-2,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0527-2,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,0.5
0528-2,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0528-2,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,0.5
0528-3,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r0,b,p0/r0,e_target,0.0
0528-3,3,3_04,9.0,4,3_05,2.5,-3,3_04-05,r,b,p/r,e_target,1.5
