sub,condition,story,segment,segment_count,base_segment,base_seg_num,ref_seg_num,ref_step_base,ref_step_base_abs,ref_seg_type,main_or_gap,refer_boost_type,refer_boost_type_tri,total_count,total_points,total_hits,base_refer_seg_pair,segment_count_demean,ref_step_base_abs_demean
0116-1,p0,1,1_02,1,1_01,1,6.5,5.5,5.5,ahead_gap,gap,none,none,1,1.0,0.0,1_01_6.5,-4.5,2.25
0116-1,p0,1,1_02,1,1_01,1,7.0,6.0,6.0,ahead_main,main,none,none,6,5.5,0.0,1_01_7.0,-4.5,2.75
0116-1,p0,1,1_02,1,1_01,1,7.5,6.5,6.5,ahead_gap,gap,none,none,2,2.0,0.0,1_01_7.5,-4.5,3.25
0116-1,p0,1,1_02,1,1_01,1,8.0,7.0,7.0,ahead_main,main,none,none,7,5.5,0.0,1_01_8.0,-4.5,3.75
0116-1,p0,1,1_02,1,1_01,1,8.5,7.5,7.5,ahead_gap,gap,none,none,4,3.5,0.0,1_01_8.5,-4.5,4.25
0116-1,p0,1,1_02,1,1_01,1,9.0,8.0,8.0,ahead_main,main,none,none,6,5.0,0.0,1_01_9.0,-4.5,4.75
0116-1,p0,1,1_02,1,1_01,1,9.5,8.5,8.5,ahead_gap,gap,none,none,1,1.0,0.0,1_01_9.5,-4.5,5.25
0116-1,p0,1,1_02,1,1_01,1,10.0,9.0,9.0,ahead_main,main,none,none,4,3.5,0.0,1_01_10.0,-4.5,5.75
0116-1,p0,1,1_02,1,1_01,1,10.5,9.5,9.5,ahead_gap,gap,none,none,7,6.5,0.0,1_01_10.5,-4.5,6.25
0116-1,p0,1,1_02,1,1_01,1,11.0,10.0,10.0,ahead_main,main,none,none,9,9.0,0.0,1_01_11.0,-4.5,6.75
0116-1,p0,1,1_04,3,1_03,3,3.5,0.5,0.5,gap,gap,none,none,2,2.0,0.0,1_03_3.5,-2.5,-2.75
0116-1,p0,1,1_04,3,1_03,3,4.0,1.0,1.0,target,main,none,none,9,8.5,0.0,1_03_4.0,-2.5,-2.25
0116-1,p0,1,1_04,3,1_03,3,4.5,1.5,1.5,ahead_gap,gap,none,none,1,1.0,0.0,1_03_4.5,-2.5,-1.75
0116-1,p0,1,1_04,3,1_03,3,5.0,2.0,2.0,ahead_main,main,none,none,8,8.0,0.0,1_03_5.0,-2.5,-1.25
0116-1,p0,1,1_04,3,1_03,3,5.5,2.5,2.5,ahead_gap,gap,none,none,4,4.0,0.0,1_03_5.5,-2.5,-0.75
0116-1,p0,1,1_04,3,1_03,3,6.0,3.0,3.0,ahead_main,main,none,none,8,7.0,0.0,1_03_6.0,-2.5,-0.25
0116-1,p0,1,1_04,3,1_03,3,6.5,3.5,3.5,ahead_gap,gap,none,none,1,1.0,0.0,1_03_6.5,-2.5,0.25
0116-1,p0,1,1_04,3,1_03,3,7.0,4.0,4.0,ahead_main,main,none,none,6,5.5,0.0,1_03_7.0,-2.5,0.75
0116-1,p0,1,1_04,3,1_03,3,7.5,4.5,4.5,ahead_gap,gap,none,none,2,2.0,0.0,1_03_7.5,-2.5,1.25
0116-1,p0,1,1_04,3,1_03,3,8.0,5.0,5.0,ahead_main,main,none,none,7,5.5,0.0,1_03_8.0,-2.5,1.75
0116-1,p0,1,1_04,3,1_03,3,8.5,5.5,5.5,ahead_gap,gap,none,none,4,3.5,0.0,1_03_8.5,-2.5,2.25
0116-1,p0,1,1_04,3,1_03,3,9.0,6.0,6.0,ahead_main,main,none,none,6,5.0,0.0,1_03_9.0,-2.5,2.75
0116-1,p0,1,1_04,3,1_03,3,9.5,6.5,6.5,ahead_gap,gap,none,none,1,1.0,0.0,1_03_9.5,-2.5,3.25
0116-1,p0,1,1_04,3,1_03,3,10.0,7.0,7.0,ahead_main,main,none,none,4,3.5,0.0,1_03_10.0,-2.5,3.75
0116-1,p0,1,1_04,3,1_03,3,10.5,7.5,7.5,ahead_gap,gap,none,none,7,6.5,0.0,1_03_10.5,-2.5,4.25
0116-1,p0,1,1_04,3,1_03,3,11.0,8.0,8.0,ahead_main,main,none,none,9,9.0,0.0,1_03_11.0,-2.5,4.75
0116-1,p0,1,1_06,5,1_05,5,5.5,0.5,0.5,gap,gap,neighbor,neighbor,4,4.0,0.0,1_05_5.5,-0.5,-2.75
0116-1,p0,1,1_06,5,1_05,5,6.0,1.0,1.0,target,main,referred,referred,1,0.5,0.0,1_05_6.0,-0.5,-2.25
0116-1,p0,1,1_06,5,1_05,5,6.0,1.0,1.0,target,main,same_seg,neighbor,7,6.5,0.0,1_05_6.0,-0.5,-2.25
0116-1,p0,1,1_06,5,1_05,5,6.5,1.5,1.5,ahead_gap,gap,neighbor,neighbor,1,1.0,0.0,1_05_6.5,-0.5,-1.75
0116-1,p0,1,1_06,5,1_05,5,7.0,2.0,2.0,ahead_main,main,neighbor,neighbor,6,5.5,0.0,1_05_7.0,-0.5,-1.25
0116-1,p0,1,1_06,5,1_05,5,7.5,2.5,2.5,ahead_gap,gap,none,none,2,2.0,0.0,1_05_7.5,-0.5,-0.75
0116-1,p0,1,1_06,5,1_05,5,8.0,3.0,3.0,ahead_main,main,none,none,7,5.5,0.0,1_05_8.0,-0.5,-0.25
0116-1,p0,1,1_06,5,1_05,5,8.5,3.5,3.5,ahead_gap,gap,none,none,4,3.5,0.0,1_05_8.5,-0.5,0.25
0116-1,p0,1,1_06,5,1_05,5,9.0,4.0,4.0,ahead_main,main,none,none,6,5.0,0.0,1_05_9.0,-0.5,0.75
0116-1,p0,1,1_06,5,1_05,5,9.5,4.5,4.5,ahead_gap,gap,none,none,1,1.0,0.0,1_05_9.5,-0.5,1.25
0116-1,p0,1,1_06,5,1_05,5,10.0,5.0,5.0,ahead_main,main,none,none,4,3.5,0.0,1_05_10.0,-0.5,1.75
