condition,story,sub,segment_count,segment_count_demean,main_or_gap,base_segment,step_abs,step_abs_demean,refer_seg,base_refer_seg_pair,refer_seg_e,refer_seg_points
r0,2,0118-2,9,3.5,main,2_03,2.0,-1.25,2_1.0,2_03_2_1.0,0.0,3.5
r0,2,0118-3,2,-3.5,main,2_10,9.0,5.75,2_1.0,2_10_2_1.0,0.0,3.5
r0,2,0118-3,4,-1.5,main,2_08,7.0,3.75,2_1.0,2_08_2_1.0,0.0,3.5
r0,2,0118-3,6,0.5,main,2_06,5.0,1.75,2_1.0,2_06_2_1.0,0.0,3.5
r0,2,0118-3,8,2.5,main,2_04,3.0,-0.25,2_1.0,2_04_2_1.0,0.0,3.5
r0,2,0118-3,10,4.5,main,2_02,1.0,-2.25,2_1.0,2_02_2_1.0,0.0,3.5
r0,1,0120-1,2,-3.5,main,1_10,9.0,5.75,1_1.0,1_10_1_1.0,0.0,4.0
r0,1,0120-1,4,-1.5,main,1_08,7.0,3.75,1_1.0,1_08_1_1.0,0.0,4.0
r0,1,0120-1,6,0.5,main,1_06,5.0,1.75,1_1.0,1_06_1_1.0,0.0,4.0
r0,1,0120-1,8,2.5,main,1_04,3.0,-0.25,1_1.0,1_04_1_1.0,0.0,4.0
r0,1,0120-1,10,4.5,main,1_02,1.0,-2.25,1_1.0,1_02_1_1.0,2.0,4.0
r0,1,0121-1,2,-3.5,main,1_10,9.0,5.75,1_1.0,1_10_1_1.0,0.0,4.0
r0,1,0121-1,4,-1.5,main,1_08,7.0,3.75,1_1.0,1_08_1_1.0,0.0,4.0
r0,1,0121-1,6,0.5,main,1_06,5.0,1.75,1_1.0,1_06_1_1.0,0.0,4.0
r0,1,0121-1,8,2.5,main,1_04,3.0,-0.25,1_1.0,1_04_1_1.0,0.0,4.0
r0,1,0121-1,10,4.5,main,1_02,1.0,-2.25,1_1.0,1_02_1_1.0,0.0,4.0
r0,2,0123-1,2,-3.5,main,2_10,9.0,5.75,2_1.0,2_10_2_1.0,0.0,3.5
r0,2,0123-1,4,-1.5,main,2_08,7.0,3.75,2_1.0,2_08_2_1.0,0.0,3.5
r0,2,0123-1,6,0.5,main,2_06,5.0,1.75,2_1.0,2_06_2_1.0,0.0,3.5
r0,2,0123-1,8,2.5,main,2_04,3.0,-0.25,2_1.0,2_04_2_1.0,0.0,3.5
r0,2,0123-1,10,4.5,main,2_02,1.0,-2.25,2_1.0,2_02_2_1.0,0.0,3.5
r0,2,0129-1,2,-3.5,main,2_10,9.0,5.75,2_1.0,2_10_2_1.0,0.0,3.5
r0,2,0129-1,4,-1.5,main,2_08,7.0,3.75,2_1.0,2_08_2_1.0,0.0,3.5
r0,2,0129-1,6,0.5,main,2_06,5.0,1.75,2_1.0,2_06_2_1.0,0.0,3.5
r0,2,0129-1,8,2.5,main,2_04,3.0,-0.25,2_1.0,2_04_2_1.0,0.0,3.5
