story,segment_num,segment,cond_direction,condition,base_seg_num,ref_sc_num,ref_sc_hit,ref_seg_num,ref_step_base,ref_seg_type,main_or_gap,refer_type,refer_type_base_only,referring_type,rr_type,refer_list,referring_list,refer_boost_step_left,refer_boost_step_right,refer_boost_step,refer_boost_type,refer_boost_type_tri,refer_type_merge,refer_type_d,refer_type_point,refer_type_point_merge,referring_type_point,sc_point,refer_point_c,refer_point_c_merge,referring_point_c,ref_step_base_abs,color
2,8,2_08,b,r0,9,552,0.0,5.5,-3.5,ahead_gap,gap,none,none,none,none,[706 851 452 654 653 301 708 851],[703 801],1.0,1.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,#ffd6ae
2,9,2_09,b,r0,10,552,0.0,5.5,-4.5,ahead_gap,gap,none,none,none,none,[452 654 653 951 952 301 708 851 902],[703 801],1.0,1.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,#ffd6ae
2,10,2_10,b,r0,11,552,0.0,5.5,-5.5,ahead_gap,gap,none,none,none,none,[ 301  708  851  902 1001 1053 1052],[1031],2.5,1.5,1.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.5,#ffd6ae
1,2,1_02,f,p,1,553,0.0,5.5,4.5,ahead_gap,gap,none,none,none,none,[151 152 153 155 233],[],3.5,99.0,3.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,#c7e0f1
1,3,1_03,f,p,2,553,0.0,5.5,3.5,ahead_gap,gap,none,none,none,none,[301],[303 303 303],2.5,99.0,2.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,#c7e0f1
1,4,1_04,f,p,3,553,0.0,5.5,2.5,ahead_gap,gap,none,none,none,none,[],[403 403],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,#c7e0f1
1,5,1_05,f,p,4,553,0.0,5.5,1.5,ahead_gap,gap,none,none,none,none,[451 631],[],1.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,#c7e0f1
1,6,1_06,f,p,5,553,0.4444444444444444,5.5,0.5,gap,gap,none,none,none,none,[631],[702 702 702],99.0,0.5,0.5,neighbor,neighbor,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,#c7e0f1
2,2,2_02,f,p,1,553,0.0,5.5,4.5,ahead_gap,gap,none,none,none,none,[153 151 231],[],3.5,99.0,3.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,#c7e0f1
2,3,2_03,f,p,2,553,0.0,5.5,3.5,ahead_gap,gap,none,none,none,none,[251],[],3.0,99.0,3.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,#c7e0f1
2,4,2_04,f,p,3,553,0.0,5.5,2.5,ahead_gap,gap,none,none,none,none,[],[ 402  704 1105],99.0,99.0,99.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5,#c7e0f1
2,5,2_05,f,p,4,553,0.0,5.5,1.5,ahead_gap,gap,none,none,none,none,[456 451 454],[ 704 1105],1.0,99.0,1.0,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.5,#c7e0f1
2,6,2_06,f,p,5,553,0.8888888888888888,5.5,0.5,gap,gap,direct,referred,none,referred,[552 551 553],[ 704 1105],0.0,0.0,0.0,referred,referred,referred,referred,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,#c7e0f1
1,2,1_02,f,p0,1,553,0.0,5.5,4.5,ahead_gap,gap,none,none,none,none,[151 152 153 155 233],[],3.5,99.0,3.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.5,#c7e0f1
1,3,1_03,f,p0,2,553,0.0,5.5,3.5,ahead_gap,gap,none,none,none,none,[301],[303 303 303],2.5,99.0,2.5,none,none,none,none,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,#c7e0f1
