story,segment_num,target_points,other_refer_seg_num,other_refer_seg_points
1,0.5,4.0,0.5,4.0
1,1.0,4.0,1.0,4.0
1,1.5,7.0,1.5,7.0
1,2.0,7.5,2.0,7.5
1,2.5,3.0,2.5,3.0
1,3.0,6.0,3.0,6.0
1,3.5,2.0,3.5,2.0
1,4.0,8.5,4.0,8.5
1,4.5,1.0,4.5,1.0
1,5.0,8.0,5.0,8.0
1,5.5,4.0,5.5,4.0
1,6.0,7.0,6.0,7.0
1,6.5,1.0,6.5,1.0
1,7.0,5.5,7.0,5.5
1,7.5,2.0,7.5,2.0
1,8.0,5.5,8.0,5.5
1,8.5,3.5,8.5,3.5
1,9.0,5.0,9.0,5.0
1,9.5,1.0,9.5,1.0
1,10.0,3.5,10.0,3.5
1,10.5,6.5,10.5,6.5
1,11.0,9.0,11.0,9.0
1,11.5,0.0,11.5,0.0
1,12.0,0.0,12.0,0.0
2,0.5,5.0,0.5,5.0
2,1.0,3.5,1.0,3.5
2,1.5,6.0,1.5,6.0
2,2.0,4.5,2.0,4.5
2,2.5,2.0,2.5,2.0
2,3.0,4.0,3.0,4.0
2,3.5,2.0,3.5,2.0
2,4.0,4.0,4.0,4.0
2,4.5,6.0,4.5,6.0
2,5.0,8.0,5.0,8.0
2,5.5,3.0,5.5,3.0
2,6.0,4.5,6.0,4.5
2,6.5,6.0,6.5,6.0
2,7.0,8.0,7.0,8.0
2,7.5,3.0,7.5,3.0
2,8.0,3.5,8.0,3.5
2,8.5,1.0,8.5,1.0
2,9.0,4.5,9.0,4.5
2,9.5,3.0,9.5,3.0
2,10.0,6.5,10.0,6.5
2,10.5,3.0,10.5,3.0
2,11.0,8.0,11.0,8.0
2,11.5,0.0,11.5,0.0
2,12.0,1.0,12.0,1.0
